"day_of_year","count"
1,2201
2,4408
3,5197
4,5229
5,2506
6,3076
7,3699
8,4693
9,5521
10,5566
11,5898
12,4038
13,3167
14,4431
15,4940
16,6237
17,5150
18,5748
19,4495
20,2427
21,2768
22,3584
23,3929
24,4516
25,6307
26,5192
27,4961
28,5915
29,6871
30,5015
31,4692
32,6117
33,4799
34,4291
35,6809
36,8863
37,7472
38,5923
39,6793
40,4439
41,4069
42,5001
43,5456
44,5369
45,7340
46,7254
47,6018
48,4691
49,3039
50,5735
51,8191
52,8806
53,7806
54,6408
55,4967
56,5195
57,7511
58,7901
59,8109
60,9067
61,3074
62,4754
63,3791
64,6290
65,7218
66,5840
67,6406
68,7185
69,4442
70,6468
71,8439
72,6519
73,6908
74,8123
75,6341
76,6265
77,7169
78,8547
79,9769
80,9495
81,6080
82,8105
83,8962
84,8248
85,9124
86,9814
87,10726
88,10434
89,12856
90,9396
91,10057
92,12544
93,11216
94,9463
95,10775
96,11128
97,12588
98,7713
99,13648
100,14897
101,16932
102,15986
103,18701
104,17518
105,13235
106,15585
107,18777
108,17653
109,17251
110,14909
111,14413
112,14161
113,19230
114,21024
115,15265
116,13886
117,15325
118,19294
119,19456
120,15650
121,20554
122,18553
123,19281
124,18536
125,15352
126,16150
127,21084
128,21612
129,21370
130,22731
131,25002
132,12931
133,17429
134,17052
135,21404
136,23887
137,22840
138,26681
139,19047
140,22383
141,26665
142,22078
143,24923
144,26406
145,21047
146,22306
147,21089
148,18184
149,20759
150,24654
151,24764
152,25730
153,23492
154,24031
155,22112
156,23611
157,20373
158,29839
159,29217
160,27520
161,27503
162,25901
163,29160
164,21755
165,30418
166,29198
167,20038
168,27403
169,25626
170,30071
171,26494
172,30217
173,31471
174,27531
175,27487
176,27922
177,32246
178,30470
179,28566
180,26802
181,23506
182,26914
183,29177
184,27609
185,28606
186,27049
187,23149
188,26316
189,28392
190,30964
191,29880
192,29162
193,30133
194,30864
195,29299
196,29992
197,32054
198,25174
199,30614
200,32447
201,29657
202,28774
203,24869
204,27094
205,27660
206,31668
207,33362
208,30743
209,30172
210,30912
211,32052
212,31534
213,32833
214,32076
215,30399
216,28476
217,30046
218,32677
219,30232
220,31069
221,34140
222,34262
223,25037
224,26252
225,27741
226,31542
227,31677
228,32807
229,29514
230,24783
231,27559
232,31080
233,29547
234,28466
235,31890
236,31388
237,28350
238,29266
239,30585
240,26609
241,30943
242,32576
243,31225
244,28611
245,24526
246,27335
247,31145
248,34806
249,29317
250,30332
251,30526
252,30954
253,30005
254,34458
255,29448
256,35621
257,32161
258,31310
259,32696
260,34096
261,30670
262,31542
263,31026
264,34250
265,29949
266,31835
267,32366
268,28868
269,30655
270,36022
271,29709
272,30641
273,27197
274,28219
275,21581
276,28430
277,32886
278,30373
279,27515
280,28065
281,26439
282,24987
283,25937
284,22084
285,25771
286,25385
287,25181
288,28752
289,28159
290,26366
291,29870
292,29939
293,28912
294,27584
295,27162
296,24410
297,27436
298,27005
299,24573
300,13027
301,20900
302,21121
303,24669
304,24516
305,27567
306,25700
307,21760
308,23641
309,21840
310,22830
311,22490
312,22602
313,19828
314,16359
315,17469
316,17769
317,14780
318,18962
319,21911
320,13470
321,15907
322,14457
323,16205
324,14392
325,18003
326,11758
327,10983
328,7725
329,12845
330,14466
331,15174
332,11603
333,14724
334,12672
335,10888
336,8758
337,11882
338,14133
339,14776
340,14645
341,13501
342,10382
343,8630
344,12757
345,11819
346,12875
347,12594
348,11494
349,10516
350,9175
351,7161
352,9495
353,9910
354,10819
355,6682
356,6219
357,5754
358,4262
359,1771
360,3874
361,4814
362,4747
363,4851
364,2458
365,4295
366,473
