"month_day","count"
"2016-01",12055
"2016-02",14643
"2016-03",41277
"2016-04",84262
"2016-05",129260
"2016-06",164667
"2016-07",167385
"2016-08",174198
"2016-09",165690
"2016-10",137865
"2016-11",99910
"2016-12",44991
"2017-01",19518
"2017-02",17272
"2017-03",31253
"2017-04",99860
"2017-05",127894
"2017-06",161910
"2017-07",175833
"2017-08",190651
"2017-09",165386
"2017-10",163662
"2017-11",105463
"2017-12",55072
"2018-01",40932
"2018-02",62817
"2018-03",62985
"2018-04",98194
"2018-05",178865
"2018-06",205359
"2018-07",242916
"2018-08",236076
"2018-09",236182
"2018-10",200100
"2018-11",121419
"2018-12",81961
"2019-01",69872
"2019-02",80466
"2019-03",102369
"2019-04",166694
"2019-05",223084
"2019-06",274022
"2019-07",316931
"2019-08",337443
"2019-09",363185
"2019-10",305504
"2019-11",190759
"2019-12",92208
